districtID,districtName,new_category,transaction_count,avg_external_gtv,avg_external_aov,category_diversity,latitude,longitude
483,Tebet,Bakery and Pastries,2539,5451095560.51066,32114.806555141222,18,-6.223599198676645,106.84267003704609
483,Tebet,Breakfast and Egg Dishes,511,4255008514.269406,40650.379570939265,18,-6.229601726203522,106.84511689485323
483,Tebet,Cakes and Desserts,1112,4024166893.329005,47886.39289704494,18,-6.22391901721223,106.84256786306655
483,Tebet,Chinese Food,324,2768944288.9342213,31107.50563796996,18,-6.232699042839506,106.84737324271605
483,Tebet,Coffee,2458,4438657527.742803,43195.79290471125,18,-6.2270186476200164,106.84458988305126
483,Tebet,Comfort Food,2244,3849309771.9086494,37934.58688079637,18,-6.2300453867290555,106.84669694137256
483,Tebet,Fried Food,532,3356561328.0942616,28675.991419613227,18,-6.232217549736843,106.84764152571428
483,Tebet,Indonesian Traditional Food,209,1811763244.8062508,15232.2441930637,18,-6.237565063349282,106.8518347522488
483,Tebet,Japanese Food,4539,8270730857.732907,36591.9137938687,18,-6.223835586785635,106.84244451488654
483,Tebet,Non-Food Items/ Event,1353,5931771938.698407,36888.772565027415,18,-6.225208975210642,106.84365764105691
483,Tebet,Others,3007,4180175046.532769,44390.97870701122,18,-6.229286688566678,106.84443324323912
483,Tebet,Seafood,907,6114111375.878915,50862.57785706438,18,-6.2257686922050715,106.84365550981256
483,Tebet,Set Meals and Combos,650,5064178269.703929,28478.30202735801,18,-6.2300975076,106.84617768695385
483,Tebet,Snacks and Appetizers,554,6453119784.041098,37356.30524421701,18,-6.225929401570397,106.84242755294224
483,Tebet,Steaks and BBQ,3400,6014216581.544289,39741.29301111177,18,-6.225432212364706,106.84388423729706
483,Tebet,Tea and Beverages,11557,5154808985.382412,41746.64955463346,18,-6.226029074036515,106.84397155346976
483,Tebet,Thai Food,3099,3355870193.7272887,31198.675685462797,18,-6.234241769525653,106.84869340212003
484,Mampang Prapatan,Alcoholic Beverages,1800,2330272394.327976,39381.05560484774,18,-6.258173302833333,106.81308756389446
484,Mampang Prapatan,Bakery and Pastries,1136,1812051580.0543602,38627.62241175664,18,-6.261946034647887,106.81315121540493
484,Mampang Prapatan,Breakfast and Egg Dishes,359,3074906310.4525967,40276.85150288504,18,-6.254873043398329,106.81533600108635
484,Mampang Prapatan,Cakes and Desserts,334,4626929720.360384,48538.368666826456,18,-6.260491399461078,106.81250104053892
484,Mampang Prapatan,Chinese Food,360,5230663361.926915,16103.44653947798,18,-6.266633746,106.81498348366667
484,Mampang Prapatan,Coffee,1283,3297050351.308754,51827.53732612257,18,-6.2604514586983635,106.81371214787218
484,Mampang Prapatan,Comfort Food,1468,2688396826.632938,40122.490829069735,18,-6.254695228392371,106.81616875850817
484,Mampang Prapatan,Fried Food,251,749533896.1347268,22032.394982814592,18,-6.246332510916334,106.8203277929482
484,Mampang Prapatan,Indonesian Traditional Food,264,819057299.1109167,16321.391979768741,18,-6.245147050454546,106.82207645799242
484,Mampang Prapatan,Japanese Food,2896,3703680277.195204,36237.19924013849,18,-6.260763116319061,106.81257247146753
484,Mampang Prapatan,Non-Food Items/ Event,870,2902755399.370613,42157.501541481244,18,-6.259059219839081,106.81365938063219
484,Mampang Prapatan,Others,2227,2896633845.635258,50919.7342396118,18,-6.257370945945217,106.81361824983834
484,Mampang Prapatan,Seafood,588,4722213932.376491,53849.9529098183,18,-6.260508765748299,106.81280761096939
484,Mampang Prapatan,Set Meals and Combos,439,2117779035.2299373,26192.59555526351,18,-6.252348859453303,106.81531497911162
484,Mampang Prapatan,Snacks and Appetizers,422,3994720202.8943977,27520.78690974468,18,-6.263163658815166,106.81349240303317
484,Mampang Prapatan,Steaks and BBQ,2491,4236931485.235268,37299.24343531327,18,-6.260542330574066,106.81292242574067
484,Mampang Prapatan,Tea and Beverages,6967,3314353233.429285,46214.00538675128,18,-6.25948723883307,106.8137705861777
484,Mampang Prapatan,Thai Food,1805,1746920644.7425094,21061.541577162498,18,-6.248974386094183,106.81990299657063
485,Pancoran,Alcoholic Beverages,142,1260339500.0,21634.50116726174,12,-6.25535887,106.84374928
485,Pancoran,Bakery and Pastries,4,1260339500.0,21634.50116726174,12,-6.25535887,106.84374928
485,Pancoran,Breakfast and Egg Dishes,108,1260339500.0,21634.50116726174,12,-6.255358870000001,106.84374928
485,Pancoran,Coffee,90,1260339500.0,21634.50116726174,12,-6.25535887,106.84374928
485,Pancoran,Comfort Food,341,1260339500.0,21634.50116726174,12,-6.25535887,106.84374928
485,Pancoran,Non-Food Items/ Event,45,1260339500.0,21634.50116726174,12,-6.25535887,106.84374928
485,Pancoran,Others,250,1260339500.0,21634.501167261744,12,-6.25535887,106.84374928
485,Pancoran,Set Meals and Combos,40,1260339500.0,21634.50116726174,12,-6.25535887,106.84374928
485,Pancoran,Snacks and Appetizers,11,1260339500.0,21634.50116726174,12,-6.25535887,106.84374928000001
485,Pancoran,Steaks and BBQ,162,1260339500.0,21634.50116726174,12,-6.25535887,106.84374928
485,Pancoran,Tea and Beverages,285,1260339500.0,21634.50116726174,12,-6.25535887,106.84374928
485,Pancoran,Thai Food,238,1260339500.0,21634.501167261737,12,-6.25535887,106.84374928
486,Jagakarsa,Alcoholic Beverages,150,852586333.1599174,20811.238381059844,18,-6.305367646133333,106.84121520653333
486,Jagakarsa,Bakery and Pastries,60,258863121.20657998,11104.855844247724,18,-6.3112214196666665,106.8333073595
486,Jagakarsa,Breakfast and Egg Dishes,111,1931380400.5071495,23093.76232786655,18,-6.3483769324324335,106.81431178918919
486,Jagakarsa,Cakes and Desserts,160,126936295.45302498,8398.019357031517,18,-6.32257561625,106.81752946187501
486,Jagakarsa,Chinese Food,21,343118909.0828,12833.591752049668,18,-6.30397,106.843384
486,Jagakarsa,Coffee,589,326856510.5650058,12499.924558693205,18,-6.305369612767402,106.84143908502547
486,Jagakarsa,Comfort Food,899,1509742229.1628523,18852.32969257941,18,-6.350175737385985,106.81337356131257
486,Jagakarsa,Fried Food,244,1428106452.9825099,14075.391923390562,18,-6.3554505409836075,106.81040054918034
486,Jagakarsa,Indonesian Traditional Food,368,1388410780.347826,19380.98423315658,18,-6.348461361875,106.81437260472826
486,Jagakarsa,Japanese Food,197,1956925383.6378782,34905.54578856783,18,-6.3099339707614215,106.83433862568528
486,Jagakarsa,Non-Food Items/ Event,168,1882559971.3248403,26905.567418736387,18,-6.3318800714285715,106.82459687857144
486,Jagakarsa,Others,561,711870354.1467551,20672.17409187778,18,-6.324051251746881,106.82353886534759
486,Jagakarsa,Seafood,158,1707933849.2318327,39942.668308557586,18,-6.306077656898734,106.8399148264557
486,Jagakarsa,Set Meals and Combos,328,1534320195.435534,16462.867254150577,18,-6.352182464939025,106.812327775
486,Jagakarsa,Snacks and Appetizers,4,2874617783.4584,48044.82189227169,18,-6.3056095,106.8399574
486,Jagakarsa,Steaks and BBQ,690,1761160115.775297,33376.31405231879,18,-6.317835367695652,106.83207789921741
486,Jagakarsa,Tea and Beverages,1485,1448894052.1977854,22716.335166717323,18,-6.3284097930370375,106.82527150113805
486,Jagakarsa,Thai Food,1682,1569009476.5832305,14743.576021749286,18,-6.3616524385374555,106.80637908468492
487,Pasar Minggu,Alcoholic Beverages,79,707552186.447005,43258.84770227979,18,-6.27455833443038,106.80424060582278
487,Pasar Minggu,Bakery and Pastries,46,569034607.5454261,61967.613448791955,18,-6.277699515434783,106.83542519456522
487,Pasar Minggu,Breakfast and Egg Dishes,146,522086694.04116434,36736.014787930304,18,-6.280641469794521,106.83279049808219
487,Pasar Minggu,Cakes and Desserts,93,691887120.3008903,55485.70279008802,18,-6.273741904086022,106.8047158960215
487,Pasar Minggu,Chinese Food,21,173759510.6857143,29257.358790466347,18,-6.297546317142857,106.83279400285714
487,Pasar Minggu,Coffee,1076,420821881.77315897,30628.240781052216,18,-6.289573603262082,106.82479006026023
487,Pasar Minggu,Comfort Food,680,717762444.935137,29217.658470134924,18,-6.284028280970589,106.83148428094117
487,Pasar Minggu,Fried Food,202,439180218.2727673,17093.09268668775,18,-6.280906667227723,106.83492691663366
487,Pasar Minggu,Indonesian Traditional Food,54,455846167.0185185,16861.050201929516,18,-6.281766574074074,106.84415808333334
487,Pasar Minggu,Japanese Food,222,457900325.15578735,27256.31195933637,18,-6.273850408108108,106.80304745747748
487,Pasar Minggu,Non-Food Items/ Event,176,482460065.7035892,49769.38354535893,18,-6.273637025738637,106.81038172505681
487,Pasar Minggu,Others,1041,395562057.2697164,30422.07217314337,18,-6.281506041450529,106.82369793397694
487,Pasar Minggu,Seafood,68,761921372.5608764,44466.64398574394,18,-6.2818238801470585,106.82910087470589
487,Pasar Minggu,Set Meals and Combos,120,419265368.07621,15015.446624975444,18,-6.275472197833333,106.83162939508334
487,Pasar Minggu,Snacks and Appetizers,121,615044000.3185356,34495.51432829827,18,-6.282472151983471,106.81632545652893
487,Pasar Minggu,Steaks and BBQ,246,570807124.7321081,29576.499222293354,18,-6.277827375243902,106.81442323203252
487,Pasar Minggu,Tea and Beverages,2122,599077962.0138422,35479.99305452606,18,-6.284545258887842,106.82818339728557
487,Pasar Minggu,Thai Food,572,457174735.4937252,16491.695206007582,18,-6.280474864842658,106.84138129606644
488,Cilandak,Alcoholic Beverages,3359,5607808276.462216,21410.957620332087,18,-6.286958697749331,106.79519378179816
488,Cilandak,Bakery and Pastries,2622,3930934127.3294115,21930.96573765608,18,-6.290699520041953,106.79159888009535
488,Cilandak,Breakfast and Egg Dishes,2644,9550432691.043516,23832.49638037392,18,-6.292151355930408,106.79347158948562
488,Cilandak,Cakes and Desserts,2195,8668251476.128927,40157.589559413056,18,-6.285307235539864,106.79645376576309
488,Cilandak,Chinese Food,572,432288328.2225761,13604.379655767656,18,-6.278081894090909,106.81179569281468
488,Cilandak,Coffee,5746,3642590469.810815,30087.55504695451,18,-6.28889236545945,106.79156762583536
488,Cilandak,Comfort Food,6578,8740699278.902386,25131.747098140168,18,-6.293459098993615,106.79255536470507
488,Cilandak,Fried Food,2521,9579784518.944958,16768.70193412176,18,-6.293718572518841,106.79207137662436
488,Cilandak,Indonesian Traditional Food,4002,16980960567.143768,23193.26586601887,18,-6.289071869352823,106.78885765233883
